f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,CelestialBody
86357264.637,78903868.76,52518358.508,66599344.218,48316713.211,48990487.73,58902646.21,14462728.378,52130412.319,60269334.195,60967867.192,41854416.25,75345691.56,86370448.901,39021204.678,27510955.452,24632205.859,46434439.36,63009478.95,80632225.945,35913232.507,15825280.384,90585087.984,80727906.873,42825007.204,20575607.017,13367839.146,41932865.19,73216854.925,61559139.479,47595798.775,26349124.485,59584474.166,25226968.711,83165087.098,53358673.261,26666215.028,50299765.277,47343599.143,96473063.942,71438289.409,65927071.122,63391378.795,82884423.794,11606980.59,73383654.52,40541666.48,32062176.547,90057502.15,69776937.502,1,1,0
86395612.367,78908818.601,52519070.462,66595971.199,48305212.272,48991726.482,60431841.232,14259365.223,52126393.324,60259942.596,60797858.889,41843140.799,75234942.857,86370702.338,38922862.661,27508261.164,24582751.77,46416009.399,62999774.865,80670654.556,35898699.549,15828220.376,90585735.922,80736417.107,42825405.33,20590948.488,13353949.841,41932105.247,73228734.348,61558536.268,47595397.953,26387380.731,59584617.606,25226591.67,83135121.54,53358055.306,26668629.041,50324136.632,47336462.899,96473427.215,71469211.798,66011077.127,63397103.827,82893916.989,11607681.937,73377552.521,40557969.582,32069876.348,90058577.067,69496136.224,1,1,0
86355780.246,78901695.205,52518401.172,66604716.415,48288327.229,48990113.709,60414442.252,14253924.19,52164940.929,60350565.858,60861577.755,41860600.512,75215107.129,86375409.899,38913933.652,27519071.519,24593091.936,46237501.487,63063015.376,80617967.937,35919857.234,15828911.299,90583271.492,80739226.698,42823017.277,20584548.416,13354784.706,41188079.322,73245985.293,61560465.665,46666688.728,26384107.467,59584200.082,25225994.965,83138034.585,53341292.237,26667932.839,50311770.642,47336634.751,96472152.478,71445223.563,65947405.409,63400851.856,82897701.232,11605019.628,73366167.835,40551837.572,32053664.104,90051094.919,69768605.607,1,1,0
86370907.471,78898557.82,52519788.436,66622482.857,48288114.246,48990820.429,60411044.362,14254834.879,52129451.422,60240876.294,60834280.699,41841171.511,75164457.123,86364235.852,38899554.84,27476951.141,24612301.173,46357795.338,62940323.193,80637169.334,35921129.764,15834701.617,90585923.498,80733980.334,42825643.125,20548438.597,13349292.823,41925649.603,73213556.647,61566848.689,47590904.469,26354852.448,59584369.311,25226190.052,83480926.436,53375566.26,26666483.802,50326125.119,47320949.14,96475116.233,71451312.027,65944969.199,63431701.615,82894358.411,11580907.541,73380238.909,40547977.399,32058489.844,90059450.243,69791567.657,1,1,0
86359718.29,78891190.105,52521672.17,66598090.028,48292440.842,48983863.893,60418349.254,14274428.753,52129125.52,60287316.617,60817012.91,41826321.786,75260975.539,86368964.419,38874813.971,27515002.539,24617995.531,46405501.842,63045774.228,80633026.754,35914302.708,15831910.09,90582266.305,80733706.113,42827875.011,20589118.712,13354128.004,41932921.501,73234450.869,61573875.314,47596354.091,26396142.731,59584504.841,25228238.98,83217193.878,53630559.991,26669166.862,50333626.492,47334902.515,96472452.62,71444087.547,65781386.277,63398103.094,82885392.427,11608844.255,73525824.349,40552444.356,32058604.843,90063561.932,69774350.61,1,1,0
86358944.995,78949393.69,52518290.744,66594926.5,48325374.485,48980312.268,60403661.342,14201050.281,52129321.894,60224510.631,60798997.084,41851301.052,75238033.352,86371888.969,38925197.632,27470370.241,24435978.733,46446377.803,62958414.27,80645676.907,35900510.827,15830683.672,90585559.435,80728353.872,42828287.729,20584010.406,13354078.077,41932529.808,73248124.325,61551326.43,47587765.268,26387826.777,59583698.669,25228532.917,83125246.088,53381241.203,26667895.694,50295860.415,47344097.678,96471650.688,71443556.774,65960360.907,63381758.316,82890007.786,11654186.982,73374074.425,40553776.221,32070028.633,90057762.233,69779094.295,1,1,0
86409814.744,78903250.674,52519423.34,66620360.917,48255820.645,48990336.406,60419538.317,14169582.895,52129113.644,60287139.758,60784013.361,41837780.309,75204583.168,86383206.893,38916293.788,27519782.29,24582101.642,46401720.299,63006375.76,80633781.993,35913914.145,15822589.557,90583681.209,80731626.284,42826126.487,20559348.892,13353674.943,41924709.314,73237860.149,61547322.993,47606172.705,26358528.687,59584378.197,25224410.015,83208495.867,53384513.091,26664515.249,50320807.639,47350535.605,96472890.482,71441252.134,65926982.092,63380757.31,83027742.496,11595656.479,73393463.26,40556459.927,32055504.304,90061881.421,69779036.671,1,1,0
86335225.026,79042416.755,52517345.499,66589221.921,48270254.899,48990869.661,60430050.513,14257821.953,52130861.455,60670615.934,60804074.681,41836122.332,75238193.287,86765253.212,38875633.98,27914925.794,24618290.273,46423440.602,62976635.077,80629217.748,35897436.498,15822262.463,90585396.344,80719954.459,42850107.321,20569416.063,13356760.849,41896423.501,73233520.922,61541876.884,47600410.553,26346811.45,59584208.777,25227776.923,83118953.421,53370482.519,26673338.753,50331389.146,47355519.982,96473136.959,71444818.04,65949167.818,63412549.366,82881564.174,11600258.294,73391086.948,40558045.387,32059418.365,90057283.148,69777433.19,1,1,0
86352299.698,78906984.984,52518977.008,66595352.725,48306527.52,48988305.062,60405560.449,14268375.69,52123457.768,60277502.715,60791237.003,41845377.867,75260041.216,86366415.568,38915752.425,27545966.007,24586832.378,46419834.014,63052695.969,80637323.29,35900858.991,15826690.571,90584381.948,80722731.887,42825249.197,20566821.731,13353922.172,41925069.257,73226660.045,61565600.366,47596976.604,26394291.318,59585737.62,25225067.907,83097723.218,53388663.848,26669629.496,50327432.403,47350000.534,96472368.017,71444201.393,65947122.43,63404449.637,82882834.274,11600660.127,73376378.918,40547126.184,32059774.104,90052679.104,69748203.505,1,1,0
86354362.926,78892619.319,52495979.496,66610074.313,48283242.749,48990385.37,60377062.183,14305201.106,52122674.868,60252681.481,60795179.799,41832103.096,74584433.608,86363142.127,38598809.393,27509628.458,24595173.235,46405267.308,63014259.905,80631418.227,35911234.177,15827517.515,90585467.497,80725422.998,42833067.852,20605688.226,13371580.727,41920927.485,73243068.195,61562580.227,47593547.663,26383192.963,59584669.654,25244551.473,83130590.827,53308203.311,26637365.629,50297105.154,47334957.851,96473110.929,71449197.741,65942153.282,63410435.885,82876138.571,11546996.194,73428839.893,40620268.445,32061229.344,90059771.001,69764279.948,1,1,0
