f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,Person,Artist,Place
86352713.401,78897226.818,52521063.941,66593371.137,48282505.133,48990165.948,60373123.223,14308512.019,52122392.485,60294760.659,60794005.112,41853437.883,75262292.364,86355760.521,38920379.799,27495963.26,24604894.639,46419961.087,62997253.102,80553838.117,35908359.107,15828264.871,90590947.08,80729282.359,42825578.339,20354826.397,13471586.3,41928549.463,73223554.523,61586468.163,47559961.043,26400672.148,59584412.827,25226311.204,83242732.39,53386507.328,26668032.219,50375036.831,47373781.699,96472619.05,71446975.086,65879215.548,63392235.427,82876928.329,11613161.595,73383665.172,40555093.167,32063858.187,90059411.18,69730143.591,1,1,0
86316764.487,78897435.231,52519387.008,66611428.308,48291028.243,48990284.127,60407846.629,14249995.122,52120060.44,60307299.588,60570163.978,41871317.034,75255730.308,86368579.485,38918479.7,27534816.699,24601927.042,46433510.418,63014808.978,80630404.957,35912781.703,15822906.984,90586968.891,80727084.227,42825685.327,20580162.97,13352334.038,41933240.323,73261685.192,61554419.076,47595513.796,26367462.445,59584816.967,25228038.504,83147783.231,53383259.0,26658461.248,50293239.972,47347617.413,96473171.019,71443517.763,65935348.42,63404634.661,82889421.6,11594640.602,73383942.466,40558807.971,32056200.187,90057506.064,69771344.25,1,1,0
86352974.411,78414634.625,52517006.718,66606301.921,48233205.584,48989352.884,60417641.024,14312985.532,52131029.482,60289394.734,60771591.54,41786414.111,75231079.217,86368218.244,38955236.811,27528108.706,24603812.152,46424945.319,62881920.994,80646007.131,35968620.893,15814559.552,90592537.822,80724971.643,42820919.682,20574329.983,13345174.128,41921975.793,73232626.231,61561665.374,47592984.985,26248852.491,59584284.722,25226983.341,83036320.787,53382592.755,26667579.881,50317824.117,47367429.39,96467327.29,71446960.197,65945313.286,63371397.387,82886273.377,11614109.282,73379001.416,40555572.839,32060212.337,90058774.123,69784048.106,1,1,0
86370907.471,78898557.82,52519788.436,66622482.857,48288114.246,48990820.429,60411044.362,14254834.879,52129451.422,60240876.294,60834280.699,41841171.511,75164457.123,86364235.852,38899554.84,27476951.141,24612301.173,46357795.338,62940323.193,80637169.334,35921129.764,15834701.617,90585923.498,80733980.334,42825643.125,20548438.597,13349292.823,41925649.603,73213556.647,61566848.689,47590904.469,26354852.448,59584369.311,25226190.052,83480926.436,53375566.26,26666483.802,50326125.119,47320949.14,96475116.233,71451312.027,65944969.199,63431701.615,82894358.411,11580907.541,73380238.909,40547977.399,32058489.844,90059450.243,69791567.657,1,1,0
86387530.343,78904751.94,52519849.679,66610205.749,48329828.744,48990338.481,60394481.549,14269540.735,52130044.564,60317283.502,60808666.407,41837906.025,75246319.883,86327612.292,38922488.117,27384300.894,24667880.675,46395939.259,63013710.376,80638402.123,35913633.114,15833421.266,90583632.693,80683077.194,42828910.201,20574115.533,13353598.153,41934544.705,73237580.173,61564499.573,47586577.869,26536736.638,59584086.817,25233718.811,83134840.445,53388826.796,26664195.921,50316308.069,47328366.481,96472355.876,71443175.731,65957516.924,63420978.081,82885339.596,11603384.567,73386835.851,40552174.709,32061642.631,90059253.872,69770816.728,1,1,0
86343800.21,78887208.682,52519617.023,66577809.785,48309804.067,48990467.154,60388059.623,14239371.303,52140258.813,60249763.315,60764683.022,41817181.59,75458290.655,86357544.939,38912000.006,27547336.012,24589905.866,46387887.177,62948142.764,80650494.465,35916315.534,15820795.011,90596762.248,80724249.93,42830323.122,20583140.804,13352955.929,41937624.313,73243020.56,61510363.799,47589399.114,26368468.251,59584233.872,25237945.051,83121624.566,53378623.141,26661449.514,50369086.998,47343004.373,96472822.583,71522691.531,65953358.89,63462016.882,82889280.556,11614907.105,73393113.709,40552167.586,32060932.992,90058806.989,69795024.795,1,1,0
86349747.157,78909511.464,52519041.359,66755957.682,48315944.07,48990288.612,60412912.968,14244396.221,52126678.416,60275614.437,60800028.455,41856623.074,75248389.529,86376361.791,38920056.241,27499465.676,24586605.158,46404459.037,63726887.64,80795692.362,35917319.548,15824091.536,90577908.094,80734594.113,42825465.237,20581445.833,13352216.382,41925869.353,73226282.8,61569046.938,47604202.071,26392340.177,59585405.549,25233666.157,83136962.304,53377121.949,26665712.148,50307010.098,47307303.039,96470591.153,71446481.233,66000894.948,63367883.391,82893665.944,11600206.699,73380594.973,40552577.675,32062892.58,90059008.224,69877511.214,1,1,0
86358734.404,78901337.174,52511554.147,66600378.071,48268865.153,48989690.35,60425916.848,14276856.298,52093454.682,60273358.161,60660588.709,41837637.131,75232335.806,86385688.992,38913351.287,27469449.321,24609011.435,46276542.604,63129418.112,80636429.798,35907253.246,15820602.476,90602429.228,80761295.838,42825835.518,20586649.947,13360936.502,41919655.308,73237836.056,61553758.597,47591970.84,26395323.668,59583594.742,25227463.49,83117381.434,53387102.566,26667449.812,50303425.576,47341513.518,96475498.176,71448932.09,65947352.82,63399967.062,82891643.124,11587638.291,73378038.051,40555958.273,32063232.031,90058376.363,69794830.599,1,1,0
86355840.756,78905263.964,52519581.976,66631624.802,48417796.543,48990292.689,60347571.874,14275736.313,52129250.973,60285807.582,60793817.924,41855109.352,75574109.82,86370862.775,38877208.019,27518797.074,24449956.531,46393363.834,63050108.759,80619342.244,35916428.237,15823231.396,90585403.751,80723431.288,42826317.831,20560098.59,13349484.724,41922987.072,73245418.001,61557530.884,47577804.765,26402699.025,59584480.689,25235863.185,83121482.685,53370025.099,26676237.366,50368714.29,47418868.738,96472803.858,71446790.077,65952111.153,63393961.482,82887829.47,11607741.678,73382420.648,40552465.89,32063101.613,90057551.886,69775969.09,1,1,0
86362676.68,78883045.172,52519333.847,66606815.704,48312170.559,48989971.576,60412264.274,14355991.737,52125950.04,60275683.979,60794728.803,41837974.252,75251130.89,86376343.695,38904951.374,27530095.741,24603384.845,46209066.911,63022711.69,80630264.381,35914400.829,15825031.77,90587226.318,80731999.553,42826557.642,20582158.363,13355576.802,41933164.014,73233564.351,61550556.51,47595034.127,26387857.85,59584478.305,25264656.425,83147213.369,53231440.825,26666169.922,50310535.067,47341241.159,96469962.308,71430593.872,65945190.227,63416674.14,82891082.336,11613463.734,73376751.64,40544626.419,32060323.533,90058973.546,69710327.169,1,1,0
86359387.117,78899167.395,52519007.421,66595212.946,48171206.426,48990180.638,60414536.863,14272718.11,52129797.833,46682670.462,60794260.723,41834499.62,75255483.226,86357655.53,38911478.132,27091836.45,24591685.625,46414873.082,62743374.033,80641770.374,35913499.703,15834322.827,90586491.806,80731511.817,42825079.738,20621716.956,13358394.196,41920646.938,73467247.928,61551043.031,47584326.778,26383955.134,59584619.792,25242160.766,83324679.691,53373466.529,26664521.459,50253916.905,47346681.59,96467663.518,71446666.582,65944280.563,63406746.511,82886648.297,11603999.707,73375580.573,40545444.415,32063397.074,90075470.549,69791506.613,1,1,0
86367095.841,78895151.428,52519729.514,66619219.458,48348215.96,48989184.396,59560743.76,14284562.109,52130487.498,60264246.671,60859083.651,41834452.038,75245102.672,86373578.951,38877468.078,27518449.148,24582801.896,46442842.726,63053511.711,80612286.171,35920506.335,15826091.556,90588492.789,80830729.891,42826709.454,20571553.459,13353461.798,41815373.943,73202242.103,61559746.165,47589753.187,26380041.832,59585029.596,25227324.5,83148341.648,53381628.215,26666246.632,50308475.4,47352511.51,96473254.272,71447352.678,65945901.702,63418703.325,82885697.823,11615792.644,73384401.053,40554368.55,32059185.467,90059248.229,69768577.708,1,1,0
86361432.209,78919116.618,52518706.379,66592991.398,48279671.891,48990183.939,60418945.776,14287351.216,52125885.175,60264802.208,60785643.378,41841795.045,75193878.987,86375096.94,38805290.467,27500454.515,24590216.497,46388316.962,62918731.492,80619490.91,35904831.779,15835202.983,90648778.444,80769942.255,42829150.195,20653493.224,13355922.715,41925784.137,72802782.798,61556760.259,47629796.218,26363360.799,59584229.754,25226172.913,83128340.82,53379548.409,26666412.905,50332787.913,47352840.57,96472578.482,67794958.61,65944218.803,63423560.008,82874718.648,11615564.504,73382726.873,40548869.38,32059941.603,90058405.628,69755078.459,1,1,0
86840573.887,78904664.696,52520240.17,66598708.973,48313461.384,48989232.566,60403869.427,13480971.887,52122190.916,60249208.946,60789705.831,41850449.11,75194325.136,86368282.072,38911576.536,27538149.318,24543194.973,46255452.855,62708256.133,80643591.992,35907660.84,15826040.264,90590379.87,80719046.971,42824135.402,20572636.231,13352845.256,41917635.85,73231414.189,61613785.411,47591095.978,26379292.589,59584276.955,25223334.364,83126531.25,53370103.827,26500642.561,50340248.599,47337747.521,96472864.574,71444990.539,65947854.158,63420118.234,82886377.031,11605011.251,73383152.939,40550372.999,32060964.185,90055678.214,69831262.25,1,1,0
86349203.772,78895830.27,52518507.638,66606160.905,48298542.605,48990356.12,60416132.694,14405561.666,52126175.917,60276163.131,60845542.766,41842302.925,75234530.383,86370015.586,38920625.091,27414970.7,24600271.309,46395859.355,63031968.122,80635001.476,35923254.14,15819306.561,90586387.429,80731159.284,42825351.323,20566487.626,13354115.721,41930659.567,73243579.626,61551144.044,47593089.634,26387735.207,59584030.62,25228097.939,83130788.029,53363435.761,26662603.442,50339663.38,47323838.254,96472406.606,71444766.476,65942347.612,63398032.428,82901205.877,11595583.707,73386630.581,40551414.514,32059917.689,90057903.006,69819207.503,1,1,0
